run_accession	experiment_accession	experiment_alias	biosample	sample_alias	library_strategy	library_source	library_layout	instrument_model	total_bases	total_spots	sra_size_bytes	md5	url
SRR18920217	SRX14997936	Kiribina3	SAMN27766121	Kiribina3	WGS	GENOMIC	PAIRED	HiSeq X Ten	10718253109	36005242	4081257076	72c813d74632f67275620cee260f1422	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920217/SRR18920217
SRR18920218	SRX14997935	Kiribina2	SAMN27766120	Kiribina2	WGS	GENOMIC	PAIRED	HiSeq X Ten	10415268001	35223463	3398255890	48517da2161ab819776658c8469ea517	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920218/SRR18920218
SRR18920219	SRX14997934	Kiribina1	SAMN27766119	Kiribina1	WGS	GENOMIC	PAIRED	HiSeq X Ten	9241871516	32110681	3192441229	56f6b1d8bf91ecf73aeb5cdd8ee50430	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920219/SRR18920219
SRR18920220	SRX14997933	Folonzo85	SAMN27766118	Folonzo85	WGS	GENOMIC	PAIRED	HiSeq X Ten	14111470102	47497980	6107460845	a8a47c17190c31ed8872b87988be37cd	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920220/SRR18920220
SRR18920221	SRX14997932	Folonzo84	SAMN27766117	Folonzo84	WGS	GENOMIC	PAIRED	HiSeq X Ten	21536071409	74057610	6664071187	7ae63df1dc1ae1c70f60c64791b5c391	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920221/SRR18920221
SRR18920222	SRX14997931	Folonzo83	SAMN27766116	Folonzo83	WGS	GENOMIC	PAIRED	HiSeq X Ten	13755830403	46702844	4263826102	7c5c1a7f5fe38082021ef2d85e9fdc54	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920222/SRR18920222
SRR18920223	SRX14997930	Folonzo82	SAMN27766115	Folonzo82	WGS	GENOMIC	PAIRED	HiSeq X Ten	12209579649	41356972	4910616181	e9d5fc079fe139dd51174e707b5bac7b	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920223/SRR18920223
SRR18920224	SRX14997929	Folonzo81	SAMN27766114	Folonzo81	WGS	GENOMIC	PAIRED	HiSeq X Ten	7923888515	26943073	3299174568	b08132582eafb18c74da2552ec3a9672	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920224/SRR18920224
SRR18920225	SRX14997928	Folonzo9	SAMN27766042	Folonzo9	WGS	GENOMIC	PAIRED	HiSeq X Ten	15633029730	52548542	5152235013	2f17943aa7db8e3770e78789d709bd2c	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920225/SRR18920225
SRR18920226	SRX14997927	Folonzo80	SAMN27766113	Folonzo80	WGS	GENOMIC	PAIRED	HiSeq X Ten	10977693381	37189910	4923326546	0f626ea0b7aadc2467bc5d860c29791e	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920226/SRR18920226
SRR18920227	SRX14997926	Folonzo79	SAMN27766112	Folonzo79	WGS	GENOMIC	PAIRED	HiSeq X Ten	11133020728	37456677	5106839200	81d8a8133b030717e77a4b966a8a95d4	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920227/SRR18920227
SRR18920228	SRX14997925	Folonzo78	SAMN27766111	Folonzo78	WGS	GENOMIC	PAIRED	HiSeq X Ten	10947377854	36785815	4837653074	ff02ce2738575118904602a261803b4f	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920228/SRR18920228
SRR18920229	SRX14997924	Folonzo77	SAMN27766110	Folonzo77	WGS	GENOMIC	PAIRED	HiSeq X Ten	10943828041	36929682	4845598477	5998abd740468ee6fa684cba7d8c9440	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920229/SRR18920229
SRR18920230	SRX14997923	Folonzo76	SAMN27766109	Folonzo76	WGS	GENOMIC	PAIRED	HiSeq X Ten	11502040495	38930584	5361137925	3ce3332cad5c6301a681df06d65f0662	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920230/SRR18920230
SRR18920231	SRX14997922	Kiribina42	SAMN27766160	Kiribina42	WGS	GENOMIC	PAIRED	HiSeq X Ten	12664955067	42710765	5492586677	0cbb1a178f9b2f8aad9f85acfca475b4	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920231/SRR18920231
SRR18920232	SRX14997921	Kiribina41	SAMN27766159	Kiribina41	WGS	GENOMIC	PAIRED	HiSeq X Ten	11560076251	39184412	4933088767	6bc2933cb25a920d0ddf03a9f14305e3	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920232/SRR18920232
